만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,지역생활만족도,주거만족도,월평균가구소득,부채유무,삶의만족도,대중교통만족도,공공편의시설만족도,의료시설만족도,year
70,33.0,2.0,1,3,2,2,2.0,2.0,2,3.0,3.0,2.0,2019
65,20.0,1.0,3,1,3,3,4.0,2.0,3,2.25,2.0,3.0,2019
72,20.0,4.0,2,2,4,1,3.0,1.0,4,2.5,2.0,3.0,2019
67,22.0,1.0,1,4,1,2,3.0,2.0,2,2.0,1.0,1.0,2019
71,19.0,1.0,3,4,5,1,3.0,2.0,2,3.0,1.0,1.0,2019
77,15.0,3.0,3,3,5,3,2.0,2.0,3,3.5,2.0,1.0,2019
77,20.0,1.0,3,3,5,2,1.0,2.0,3,3.0,2.0,3.0,2019
76,9.0,5.0,4,2,3,4,2.0,2.0,2,2.5,1.0,1.0,2019
75,60.0,1.0,1,3,5,4,2.0,2.0,3,3.5,2.0,3.0,2019
66,20.0,1.0,3,3,5,3,1.0,2.0,4,3.5,1.0,1.0,2019
69,50.0,1.0,3,3,5,2,1.0,2.0,2,3.5,1.0,2.0,2019
71,37.0,1.0,3,4,5,4,1.0,2.0,3,3.5,1.0,2.0,2019
70,7.0,1.0,3,3,3,4,1.0,2.0,4,3.5,1.0,2.0,2019
85,84.0,1.0,1,4,4,4,1.0,2.0,3,3.5,1.0,1.0,2019
78,69.0,1.0,3,4,2,1,1.0,2.0,3,3.5,1.0,2.0,2019
78,77.0,1.0,1,4,4,3,1.0,2.0,3,2.75,1.0,1.0,2019
67,6.0,1.0,4,2,4,1,1.0,2.0,3,2.75,2.0,2.0,2019
66,13.0,1.0,1,3,1,1,1.0,2.0,4,2.25,1.0,1.0,2019
78,13.0,1.0,3,3,3,2,1.0,2.0,2,2.5,1.0,2.0,2019
74,2.0,1.0,4,2,3,3,1.0,2.0,2,3.0,2.0,1.0,2019
71,14.0,1.0,4,2,2,2,1.0,2.0,2,2.0,1.0,2.0,2019
85,13.0,1.0,3,3,2,2,1.0,2.0,3,3.0,1.0,2.0,2019
70,20.0,2.0,4,2,2,2,1.0,2.0,4,2.5,2.0,2.0,2019
76,70.0,2.0,1,3,2,3,1.0,2.0,4,2.75,2.0,2.0,2019
70,20.0,1.0,3,3,2,3,4.0,2.0,3,3.25,2.0,3.0,2019
77,17.0,1.0,3,3,1,2,3.0,2.0,3,2.5,4.0,2.0,2019
74,10.0,1.0,3,3,2,2,1.0,2.0,4,2.75,2.0,2.0,2019
66,6.0,1.0,4,2,2,1,3.0,2.0,3,3.0,1.0,2.0,2019
70,1.0,1.0,4,3,2,2,5.0,2.0,2,3.25,2.0,2.0,2019
73,20.0,1.0,3,3,2,3,5.0,2.0,4,2.25,2.0,3.0,2019
82,30.0,2.0,4,2,3,2,2.0,2.0,4,3.75,2.0,2.0,2019
80,14.0,1.0,3,3,3,3,2.0,2.0,4,3.0,1.0,3.0,2019
65,30.0,3.0,3,3,3,3,7.0,1.0,3,2.75,3.0,3.0,2019
85,2.0,2.0,3,3,2,3,1.0,2.0,3,4.0,2.0,3.0,2019
72,14.0,1.0,1,4,1,1,3.0,2.0,1,3.0,1.0,2.0,2019
67,20.0,1.0,3,3,1,3,3.0,2.0,3,3.0,1.0,2.0,2019
74,45.0,3.0,3,4,2,4,3.0,2.0,5,2.5,2.0,2.0,2019
75,2.0,3.0,4,1,4,3,1.0,1.0,5,3.5,1.0,5.0,2019
82,14.0,1.0,3,4,1,4,1.0,2.0,2,3.0,1.0,2.0,2019
72,20.0,1.0,3,4,1,1,2.0,1.0,2,2.25,1.0,1.0,2019
72,5.0,2.0,4,2,3,3,3.0,1.0,5,2.75,1.0,3.0,2019
71,20.0,2.0,3,3,4,4,1.0,1.0,4,3.0,2.0,3.0,2019
65,24.0,2.0,3,4,1,1,2.0,2.0,1,2.75,2.0,3.0,2019
74,74.0,1.0,1,4,2,3,2.0,2.0,2,2.75,3.0,3.5,2019
77,40.0,1.0,3,3,3,4,4.0,2.0,2,2.5,2.0,3.0,2019
72,50.0,1.0,3,3,2,3,2.0,1.0,3,3.0,2.0,2.5,2019
67,35.0,2.0,4,3,2,4,3.0,2.0,3,2.75,3.0,3.0,2019
