만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,거주지만족도,월평균가구소득,부채유무,삶의만족도,year
68,43.0,1.0,3,4,2.0,5.0,2.0,2,2017
72,23.0,2.0,3,3,2.0,2.0,2.0,4,2017
76,40.0,2.0,3,4,2.0,2.0,2.0,2,2017
70,25.0,2.0,3,3,2.0,2.0,1.0,2,2017
74,10.0,3.0,3,3,2.5,4.0,1.0,2,2017
67,13.0,3.0,3,3,2.5,2.0,1.0,4,2017
73,40.0,2.0,3,3,2.0,5.0,2.0,2,2017
73,50.0,2.0,3,3,3.5,3.0,2.0,2,2017
75,8.0,1.0,3,3,1.5,2.0,2.0,2,2017
79,4.0,3.0,3,2,2.5,1.0,2.0,2,2017
85,45.0,2.0,3,3,2.5,8.0,1.0,3,2019
77,15.0,1.0,3,4,1.5,3.0,2.0,2,2019
76,25.0,1.0,3,2,3.0,1.0,2.0,3,2019
77,3.0,3.0,4,2,3.5,1.0,2.0,5,2019
74,20.0,2.0,3,2,3.0,2.0,2.0,4,2019
73,30.0,2.0,3,3,3.0,2.0,2.0,4,2019
85,30.0,1.0,3,2,3.0,1.0,2.0,4,2019
76,8.0,1.0,3,2,3.0,1.0,2.0,3,2019
80,20.0,1.0,3,2,2.5,1.0,2.0,4,2019
83,10.0,1.0,3,2,3.0,1.0,2.0,4,2019
76,15.0,2.0,4,2,3.5,2.0,2.0,4,2019
79,11.0,1.0,3,1,2.5,1.0,2.0,3,2019
79,31.0,2.0,4,3,4.0,3.0,2.0,3,2019
71,1.0,3.0,3,2,3.0,3.0,2.0,3,2019
67,67.0,1.0,2,3,2.5,7.0,1.0,3,2019
85,15.0,1.0,4,2,3.5,2.0,2.0,4,2019
70,20.0,1.0,3,3,2.0,2.0,2.0,2,2019
77,18.0,1.0,3,3,2.0,1.0,1.0,3,2019
67,2.0,1.0,4,3,2.0,1.0,2.0,2,2019
76,30.0,1.0,3,3,1.5,2.0,2.0,3,2019
71,30.0,1.0,3,3,2.0,1.0,2.0,3,2019
80,50.0,2.0,3,2,3.0,1.0,2.0,4,2019
72,15.0,2.0,4,2,4.0,1.0,1.0,4,2019
71,25.0,2.0,3,3,3.0,1.0,2.0,3,2019
71,50.0,2.0,3,2,3.0,2.0,2.0,3,2019
79,50.0,2.0,3,2,3.0,1.0,2.0,3,2019
77,44.0,2.0,3,2,3.0,1.0,2.0,2,2019
68,16.0,2.0,3,2,3.0,2.0,2.0,3,2019
81,20.0,1.0,3,3,3.0,1.0,2.0,1,2019
69,10.0,3.0,4,3,2.5,2.0,2.0,3,2019
65,20.0,1.0,3,2,2.0,2.0,1.0,2,2019
69,20.0,1.0,3,3,1.5,3.0,2.0,4,2019
65,1.0,4.0,4,2,3.5,3.0,1.0,3,2019
67,20.0,1.0,3,3,2.0,4.0,2.0,3,2019
82,40.0,1.0,3,3,1.0,1.0,1.0,3,2019
70,30.0,2.0,3,3,2.0,1.0,2.0,2,2019
65,37.0,2.0,3,3,3.0,1.0,2.0,3,2019
82,40.0,1.0,3,2,2.5,1.0,2.0,3,2019
85,40.0,2.0,3,3,2.5,1.0,2.0,3,2019
71,40.0,2.0,3,2,3.0,1.0,2.0,3,2019
83,50.0,2.0,3,3,2.0,1.0,2.0,3,2019
67,40.0,1.0,3,3,4.0,1.0,1.0,4,2019
76,40.0,1.0,3,3,2.0,1.0,2.0,3,2019
70,47.0,1.0,3,3,2.5,2.0,1.0,2,2019
80,44.0,1.0,3,3,1.5,1.0,2.0,3,2019
76,50.0,1.0,3,3,3.5,1.0,2.0,3,2019
74,10.0,1.0,4,2,3.5,1.0,2.0,5,2019
80,50.0,1.0,3,3,3.0,1.0,2.0,3,2019
67,6.0,1.0,3,3,2.0,1.0,1.0,4,2019
75,45.0,1.0,3,3,3.5,1.0,2.0,3,2019
85,3.0,1.0,4,2,2.0,1.0,1.0,3,2019
71,47.0,1.0,3,4,1.5,1.0,1.0,2,2019
80,45.0,1.0,3,4,2.0,1.0,2.0,3,2019
68,40.0,2.0,3,2,2.5,1.0,2.0,2,2019
65,60.0,1.0,3,4,4.0,3.0,1.0,4,2019
75,47.0,1.0,4,3,3.0,1.0,1.0,3,2019
75,48.0,1.0,3,3,1.5,1.0,2.0,1,2019
70,45.0,3.0,3,3,3.5,2.0,2.0,3,2019
65,47.0,1.0,3,3,2.0,2.0,1.0,3,2019
67,40.0,1.0,3,4,1.0,1.0,2.0,3,2019
76,50.0,1.0,3,3,2.5,2.0,2.0,3,2019
84,30.0,1.0,3,4,2.0,1.0,2.0,2,2019
71,40.0,2.0,3,3,2.5,2.0,2.0,3,2019
73,35.0,1.0,4,3,3.0,1.0,2.0,3,2019
72,43.0,2.0,3,3,2.5,3.0,1.0,3,2019
85,10.0,1.0,3,3,2.5,2.0,1.0,2,2019
75,46.0,2.0,3,3,2.5,2.0,2.0,3,2019
75,18.0,2.0,3,3,2.5,1.0,2.0,4,2019
85,79.0,2.0,3,3,3.0,1.0,2.0,3,2019
66,15.0,4.0,4,2,3.0,2.0,2.0,3,2019
73,10.0,2.0,3,3,2.0,4.0,2.0,2,2019
77,10.0,3.0,3,2,2.5,2.0,2.0,3,2019
65,6.0,2.0,3,3,2.5,2.0,1.0,3,2019
70,40.0,1.0,3,4,2.0,3.0,2.0,2,2019
76,48.0,1.0,3,4,1.5,2.0,2.0,3,2019
78,8.0,1.0,4,3,2.5,1.0,2.0,3,2019
78,7.0,2.0,3,3,2.0,3.0,2.0,2,2019
65,39.0,2.0,3,2,2.5,3.0,2.0,3,2019
68,20.0,2.0,3,3,2.0,2.0,2.0,4,2019
76,6.0,3.0,4,2,3.5,1.0,2.0,4,2019
67,10.0,1.0,3,3,3.0,2.0,2.0,3,2019
72,50.0,3.0,4,1,3.5,2.0,2.0,5,2019
76,30.0,1.0,3,3,2.0,2.0,2.0,3,2019
68,30.0,1.0,3,3,3.5,2.0,2.0,4,2019
76,40.0,1.0,3,3,3.0,2.0,2.0,3,2019
65,40.0,2.0,3,3,3.5,4.0,2.0,4,2019
76,45.0,1.0,3,3,2.5,1.0,2.0,3,2019
80,20.0,1.0,3,3,3.0,2.0,2.0,3,2019
70,10.0,2.0,3,3,2.5,2.0,2.0,4,2019
67,40.0,1.0,3,2,2.0,4.0,2.0,2,2019
85,50.0,1.0,3,3,3.0,1.0,2.0,3,2019
70,35.0,3.0,4,2,4.0,1.0,2.0,4,2019
74,10.0,2.0,3,3,3.0,3.0,2.0,3,2019
68,8.0,4.0,4,2,5.0,1.0,1.0,5,2019
83,30.0,4.0,3,2,2.0,1.0,1.0,3,2019
73,13.0,3.0,4,3,3.0,1.0,2.0,4,2019
79,25.0,2.0,3,3,2.5,1.0,2.0,2,2019
68,40.0,2.0,3,3,2.5,7.0,2.0,2,2019
72,10.0,1.0,3,4,1.5,2.0,2.0,2,2019
73,10.0,2.0,3,2,2.5,1.0,2.0,3,2019
67,33.0,2.0,3,3,2.0,5.0,2.0,2,2019
70,50.0,2.0,3,3,2.0,3.0,2.0,2,2019
78,40.0,2.0,3,3,2.5,1.0,1.0,2,2019
80,35.0,2.0,3,3,2.0,1.0,2.0,2,2019
70,35.0,2.0,3,3,2.0,2.0,2.0,2,2019
66,35.0,4.0,3,3,2.0,1.0,2.0,2,2019
82,45.0,2.0,3,3,2.0,3.0,2.0,3,2019
77,40.0,2.0,3,2,2.0,1.0,2.0,2,2019
76,30.0,2.0,3,3,2.0,1.0,2.0,4,2019
75,20.0,2.0,3,3,2.0,6.0,2.0,2,2019
